rank,title,author,category,monthly_tickets,ip_score,ip_grade
74,星际猎人,太极阴阳鱼,科幻,351,66.49238072439458,C
75,道断修罗,列夕,玄幻奇幻,669,66.46456281663635,C
76,源力过载,我爱小豆,玄幻奇幻,269,66.42127490593128,C
77,重返1998,笔舞春秋,都市,660,66.30421916810236,C
78,湘阳路警事,明珠蒋蒋,现实题材,544,66.22843941035208,C
79,警报！真龙出狱！,红透半边天,都市,238,66.1658081165843,C
80,陆地键仙,六如和尚,玄幻奇幻,170,66.16573513054925,C
81,大明第一墙头草,随轻风去,历史,304,66.12572571088427,C
82,第一剑仙,火神,玄幻奇幻,258,66.10913323567851,C
83,天上白玉京,莫问江湖,玄幻奇幻,259,66.10781296755657,C
84,大乾最狂驸马爷,半程烟雨,历史,230,65.90678959753939,C
85,陛下，你管这叫没落寒门？,挽天火,历史,307,65.6483550377274,C
86,阴脉先生,想看许多风景的兔子,奇闻异事,207,65.58345798135151,C
87,掌天图,四眼秀才,玄幻奇幻,241,65.52422621162533,C
88,巅峰权途,争渡,都市,218,65.28999086406247,C
89,雪中悍刀行,烽火戏诸侯,玄幻奇幻,235,65.24288516096472,C
90,第一天骄,苏月夕,玄幻奇幻,189,65.03985691145932,C
91,一品,奕辰辰,武侠仙侠,454,64.99270638954408,C
92,踏星,随散飘风,科幻,223,64.97036582031637,C
93,时空法则,千方明灭,玄幻奇幻,171,64.9315104008903,C
94,寻宝全世界,尼罗河,都市,164,64.84491212460699,C
95,东北修道三十年，世人敬我如敬神,火出全宇宙,奇闻异事,232,64.84107976027123,C
96,全军列阵,知白,历史,228,64.77557534609484,C
97,九天斩神诀,小知了,玄幻奇幻,196,64.71400364918203,C
98,重生78，开局被女知青退婚,风里掌灯见惊泓,都市,166,64.70656285493774,C
99,阎王下山,苍月夜,都市,185,64.635570872359,C
100,网游：开局刮刮乐，觉醒唯一SSS天赋,亦晨,游戏,198,64.3673981217294,C
101,一剑擎天,萧秋寒,武侠仙侠,212,64.33678192548861,C
102,从省府大秘到权力巅峰,一起功成名就,都市,194,64.2642429333092,C
103,万世帝君,桃花源,玄幻奇幻,639,64.25776746688393,C
