status,title,month,year,word_count,interaction,finance,week_recommend,fans_count,author,popularity,platform,novel_id,category,is_sign,abstract,IP_Score
0,重回1982小渔村,9,2025,7679800,1785200,13042,8674,13,米饭的米,743927,qidian,1034727274,都市生活,0,【这是一个海边人上山下海的日常小说！ 没有装逼打脸，只有上山下海的悠闲！ 年代文，日常，赶海，种田，养娃，家长里短，不喜勿入，勿喷！】 叶耀东只是睡不着觉，想着去甲板上吹吹风，尿个尿，没想到掉海里回到了1982年。 还是那个熟悉的小渔村，只是他已经不是年轻时候的他了。 混账了半辈子，这回他想好好来过的，只是怎么一个个都不相信呢…… 上辈子没出息，这辈子他也没什么大理想大志向，只想挽回遗憾，跟老婆好好过日子，一家子平安喜乐就好。,75.86827420778606
0,鸣龙,9,2025,1844199,1608000,17621,17900,77,关关公子,571349,qidian,1039457453,东方玄幻,0,“事情是这样的，我当初身陷绝境，意外遇见了一条龙，它非说我是习武奇才，要给我指条通仙大道……” “这就是你挖开魔神陵，给妖魔当奴仆的理由？！” “我谢尽欢从不屈居人下，它才是奴仆，准确来说，我是被一条龙服务过……” …… 已有完本万订《世子很凶》《仙子很凶》《女侠且慢》，感兴趣的朋友可以先看老书~,76.19913247975275
0,都重生了谁考公务员啊,9,2025,2386500,1981100,19834,19900,430,柳岸花又明,1343990,qidian,1038504669,都市生活,0,省直公务员陈着意外重生自己高三的那一年。 于是，一个木讷腼腆、和女生说话都会脸红、只知道学习的高中生； 突然变得通晓人情世故，说话做事总是恰到好处，不仅改变了人生轨迹，也越来越吸引女孩子的关注。 女生：陈着你有什么优点？ 陈着：人老实，话不多。 发小：我觉得骗人是不对的，你现在一点都不老实。 陈着：没骗！人老，实话不多。 （首先声明，绝对不是作者真实经历）,79.15576506632738
0,这个地下城长蘑菇了,9,2025,1237800,399900,13900,6799,47,生吃菌子,412109,qidian,1044050715,剑与魔法,0,“一团窃来的奇妙灵魂，一份勇者的力量，再加上经典的苦难开局做催化！” “这样一个救世主就……卧槽，蘑菇怎么掉进去了！？” ———— 莫名其妙就转生成蘑菇的林珺，开局就被各路魔物堵死在了地下城深层。 没手没脚没眼睛，全靠着分解尸体掠夺技能的外挂苟活下来。 甚至还在地下城里开辟了一片蘑菇园，打算一点点反向攻略地下城。 一切都是为了有朝一日能重新晒到太阳。 直到那天，上面掉下了个被变成蘑菇的憨憨公爵千金。 还引来了一队前来救援的钻石级冒险者。 莫名其妙搭了一截顺风车上来的林珺发现，这哪还是地下城，分明是自助餐天堂！ 不知不觉，菌毯铺满了地下城每个角落，所有死去的肉体都是他的养料，蘑菇甚至长出地下城追寻更多…… “等等，我拿的这个真不是虫族剧本？” 要素：【什么都有点的世界观】+【非人主角】+【幕后黑手】,72.96425033644529
0,俗仙,9,2025,942099,462299,7117,6124,11,流浪的蛤蟆,0,qidian,1045391192,古典仙侠,0,修仙之人 没有柴米油盐的烦恼 却躲不开红尘俗世的贪嗔痴爱，恨欲情仇！,35.99295894164026
0,捞尸人,10,2025,4734100,5162400,169211,60500,351,纯洁滴小龙,6830245,qidian,1041637443,异术超能,0,人知鬼恐怖，鬼晓人心毒。 这是一本传统灵异小说。,92.67222577192861
0,苟在初圣魔门当人材,10,2025,3000899,1508899,106100,28700,250,鹤守月满池,1479969,qidian,1043182343,东方玄幻,0,吕阳穿越修仙界，却成了魔门初圣宗的弟子。 幸得异宝【百世书】，死后可以重开一世，让一切从头再来，还能带回前世的宝物，修为，寿命，甚至觉醒特殊的天赋。 奈何次数有限，并非真的不死不灭。 眼见修仙界乱世将至，吕阳原本决定先在魔门苟住，一世世苦修，不成仙不出山，奈何魔门凶险异常，遍地都是人材。 第一世，吕阳惨遭师姐暗算。 第二世，好不容易反杀师姐，又遭师兄毒手。 第三世，第四世…… 直到百世之后，再回首，吕阳才发现自己已经成为了一代魔道巨擘，初圣宗里最畜生的那一个。 “魔门个个都是人材，说话又好听。” “我超喜欢这里的！”,85.51609728814383
0,没钱修什么仙？,10,2025,2733000,2633399,85977,30900,264,熊狼狗,1780040,qidian,1042256511,修真文明,0,老者：“你想报仇？” 少年：“我被强者反复侮辱，被师尊视为垃圾，我怎么可能不想报仇？” 老者摸了摸少年的脑袋，叹道：“好孩子，我来传功给你吧。” 少年惊道：“前辈！这怎么行？” 老者伸出手：“把你手机给我。” 少年看着手机上的变化，震惊道：“前辈！这哪里来的百年功力？” 老者微微一笑：“好孩子，这是你在天庭的备用功力，以后急用的时候随用随取，别再被人侮辱了。” 少年皱眉：“这不是法力贷吗？我怕……” 老者：“天庭是大平台，新用户借百年功力有30天免息，日息最低半天功力，还没你吐纳一周天多。” …… 张羽冷哼一声，关掉了上面的广告。,85.79208461366848
0,玄鉴仙族,10,2025,5090000,4492900,83600,59000,762,季越人,7674313,qidian,1035420986,修真文明,0,陆江仙熬夜猝死，残魂却附在了一面满是裂痕的青灰色铜镜上，飘落到了浩瀚无垠的修仙世界。 凶险难测的大黎山，眉尺河旁小小的村落，一个小家族拾到了这枚镜子，于是传仙道授仙法，开启波澜壮阔的新时代。 (家族修仙，不圣母，种田，无系统，群像文),90.1524334102208
0,夜无疆,10,2025,2613900,8215000,57795,72900,143,辰东,2751351,qidian,1040765595,东方玄幻,0,那一天太阳落下再也没有升起…………………,86.63543239013272
