title,author,category,abstract,status,platform,word_count,popularity,interaction,finance,fans_count,week_recommend
骑士征程,我爱小豆,玄幻奇幻,,完结,Zongheng,10905704,12255100,189146,1154,1707,8
狂暴逆袭,罗玛,玄幻奇幻,,连载,Zongheng,8090044,5413528,248187,167,874,0
帝道独尊,一叶青天,玄幻奇幻,,完结,Zongheng,7329541,12143213,88189,10989,1000,0
我不会武功,轻浮你一笑,玄幻奇幻,,完结,Zongheng,6811749,6251448,50624,80,324,41
校园修仙武神,天山剑主,都市,,连载,Zongheng,4784447,3583512,367646,67,32,0
长宁帝军,知白,历史,,完结,Zongheng,5323806,260838777,23363296,7830,2486,0
十方乾坤,神出古异,武侠仙侠,,完结,Zongheng,5602605,24553349,78649,601,733,0
匠心,沙包,都市,,完结,Zongheng,2712125,2176227,151172,1010,219,40
寻龙迷踪,唐家太公,武侠仙侠,,完结,Zongheng,3191583,141516,4142,129,143,0
剑骨,会摔跤的熊猫,武侠仙侠,,完结,Zongheng,4552177,7898658,82676,313,941,0
一剑独尊,青鸾峰上,玄幻奇幻,,完结,Zongheng,9540676,423149549,20514786,1674,14013,10
大侠萧金衍,三观犹在,武侠仙侠,,完结,Zongheng,2132145,5631235,81639,159,462,0
医流武神,潇铭,都市,,完结,Zongheng,6243629,3866030,51053,97,767,0
太平客栈,莫问江湖,武侠仙侠,,完结,Zongheng,5924926,6361186,43783,73,503,0
重启修仙纪元,步履无声,都市,,完结,Zongheng,3910116,10710163,5399512,64,179,0
决不能怂,心情马甲,玄幻奇幻,,完结,Zongheng,2352750,116069,12329,72,39,0
流浪之城,天府酒客,科幻,,完结,Zongheng,2223360,835532,48213,126,127,0
市井之徒,对井当歌,都市,,完结,Zongheng,4174891,1605683,21936,164,169,0
一剑画天,陈奀,武侠仙侠,,完结,Zongheng,1218809,17999,410,87,20,0
仙穹之巅,勿问今生,玄幻奇幻,,完结,Zongheng,2300306,47026,4897,157,16,0
金币即是正义,盘古混沌,N次元,,完结,Zongheng,6845889,1284738,105268,140,678,49
不死邪神,风狂笑,玄幻奇幻,,完结,Zongheng,7825249,1490613,17306,60,206,0
帝世无双,雨暮浮屠,玄幻奇幻,,完结,Zongheng,9853385,66915810,905281,304,504,0
都市超级高手,赤焰圣歌,都市,,完结,Zongheng,3208995,42109171,3636594,6683,395,0
时空法则,千方明灭,玄幻奇幻,,连载,Zongheng,1405652,2200492,225588,65,14,40
猎天争锋,睡秋,玄幻奇幻,,完结,Zongheng,6360220,13163714,526842,131,444,114
长风一梦入轮回,悟道心,武侠仙侠,,完结,Zongheng,1054257,17827359,38972,68,297,0
万象天劫,西门小陆,玄幻奇幻,,完结,Zongheng,1694946,318996,24620,208,0,0
修真大福星,渡血古巫,武侠仙侠,,完结,Zongheng,3785066,96695,16595,282,70,0
乘龙赘婿,雾岚山岳,都市,,完结,Zongheng,2560175,7490448,28401,104,47,0
全能下人,紫蓝阿创,玄幻奇幻,,完结,Zongheng,1867621,29297,3043,61,15,0
巅峰仙道,寒梅惊雪,玄幻奇幻,,完结,Zongheng,6667238,964127,15732,247,319,0
