title,author_name,word_count,month_tickets,total_recommendation_count,status,category_name,platform,engagement_score
今天毁灭世界了吗？,如星也,1475500.0,2131,215400,连载,科幻,Qidian,14.34533826994278
三塔游戏,更从心,2484300.0,1935,158200,连载,科幻,Qidian,7.757687527562843
废土边境检查官,斤斤斤,1906000.0,6333,165500,连载,科幻,Qidian,33.053235908141964
黎明之剑,远瞳,6332700.0,2391,12891600,完本,科幻,Qidian,3.7696879877654625
吞噬星空2起源大陆,我吃西红柿,1508400.0,1071,3314400,完本,科幻,Qidian,7.053477344573235
这游戏也太真实了,晨星LL,6920300.0,1816,4853100,完本,科幻,Qidian,2.6203771842488783
灵境行者,卖报小郎君,4179400.0,699,6403800,完本,科幻,Qidian,1.668496682102449
深海余烬,远瞳,2590100.0,1124,5817200,完本,科幻,Qidian,4.322910657282413
招黑体质开局修行在废土,陈风笑,8429200.0,2394,3176800,连载,科幻,Qidian,2.836761778367618
末世第一狠人,差不多了,3490299.0,1071,121300,连载,科幻,Qidian,3.0597386109015257
天才俱乐部,城城与蝉,2834700.0,1012,610700,完本,科幻,Qidian,3.5574928814989275
玩家重载,,,0,0,未知,,Qidian,
重生末日前：我的后盾是国家,零点有雨,695300.0,1402,53200,连载,科幻,Qidian,19.878066071175386
神的模仿犯,青衫取醉,972600.0,17458,294300,连载,游戏,Qidian,177.67148381844086
吞噬星空,我吃西红柿,4784600.0,778,7998000,完本,科幻,Qidian,1.6226588245109081
怪物来了,一刀斩斩斩,3339700.0,13597,187300,连载,游戏,Qidian,40.59169477863689
超维度玩家,诸生浮屠,2112700.0,1645,269000,连载,游戏,Qidian,7.7495642342299895
说好开发消消乐，地球战争什么鬼,黑心小C,1429100.0,1068,293600,完本,游戏,Qidian,7.421304982280592
CS：最后一舞，舞成职业通天代,Iced子夜,1071000.0,3750,36800,连载,游戏,Qidian,34.69010175763182
星渊行者,失落叶,2059800.0,2105,172600,连载,游戏,Qidian,10.170064740554643
LOL：才满18，让我逆袭重生,五分想象,2451400.0,4156,239400,连载,游戏,Qidian,16.884699764361745
超神机械师,齐佩甲,5168700.0,1684,9187100,完本,游戏,Qidian,3.2517813350840945
蒸汽世界的奥秘侦探,西贝猫,1459199.0,1586,85900,连载,游戏,Qidian,10.794997818539217
