title,author_name,word_count,month_tickets,total_recommendation_count,status,category_name,platform,engagement_score,cluster,tier
绝对命运游戏,宝月流光,2630200.0,575,236000,连载,游戏,Qidian,2.177865313233846,1,C级普通
异维囚笼,躺摆混,801300.0,1316,40199,连载,游戏,Qidian,16.22088006902502,1,C级普通
你这辈子就是让游戏给害了！,起点灵感大王,1142400.0,1211,13400,连载,游戏,Qidian,10.50850399166956,1,C级普通
LOL：重生S3，调教全联盟,青石离,1948000.0,451,99700,连载,游戏,Qidian,2.303370786516854,1,C级普通
冰封末世：我打造完美领地,一条小白蛇,6295900.0,653,131500,连载,游戏,Qidian,1.0355381468148877,1,C级普通
全职高手,蝴蝶蓝,5347800.0,1218,6836000,完本,游戏,Qidian,2.2733211392735826,2,B级腰部
坏了，被李相赫做局了！,想天开,875000.0,302,27599,连载,游戏,Qidian,3.412429378531073,1,C级普通
信我，我真是联盟职业选手,洛兰殇,1065300.0,619,14200,连载,游戏,Qidian,5.756533060541244,1,C级普通
无尽海洋：从独木舟开始逃生,特种兵76号,980900.0,464,21600,连载,游戏,Qidian,4.682611767080432,1,C级普通
惊悚乐园,三天两觉,4893400.0,941,4161400,完本,游戏,Qidian,1.9190765591222416,1,C级普通
星辰大道,随散飘风,2437000.0,0,236000,连载中,玄幻奇幻,Zongheng,0.0,1,C级普通
逆天邪神,火星引力,7851000.0,0,3850000,连载中,玄幻奇幻,Zongheng,0.0,2,B级腰部
圣殊,知白,458000.0,0,31000,连载中,历史,Zongheng,0.0,1,C级普通
齐天,日落红尘,1243000.0,0,7918,连载中,玄幻奇幻,Zongheng,0.0,1,C级普通
步步高升：从省考状元到权力巅峰,烟斗老哥,2169000.0,0,55000,连载中,都市,Zongheng,0.0,1,C级普通
无敌天命,青鸾峰上,3412000.0,0,390000,连载中,玄幻奇幻,Zongheng,0.0,1,C级普通
仙子，求你别再从书里出来了,佛系和尚,293000.0,0,981,连载中,都市,Zongheng,0.0,1,C级普通
众仙俯首,咸鱼老白,2031000.0,0,87000,连载中,武侠仙侠,Zongheng,0.0,1,C级普通
太荒吞天诀,铁马飞桥,14736000.0,0,202000,连载中,玄幻奇幻,Zongheng,0.0,2,B级腰部
最强狂兵Ⅱ：黑暗荣耀,烈焰滔滔,2888000.0,0,370000,连载中,都市,Zongheng,0.0,1,C级普通
万仙来朝,萧瑾瑜,1867000.0,0,153000,连载中,玄幻奇幻,Zongheng,0.0,1,C级普通
剑来,烽火戏诸侯,13059000.0,0,18725000,连载中,武侠仙侠,Zongheng,0.0,2,B级腰部
天黑请点灯,罗樵森,2247000.0,0,44000,连载中,奇闻异事,Zongheng,0.0,1,C级普通
绝色生骄,沙漠,1970000.0,0,111000,连载中,历史,Zongheng,0.0,1,C级普通
从军赋,风尘落雨,2339000.0,0,33000,连载中,历史,Zongheng,0.0,1,C级普通
